";""winsor-newton-lab.txt"" color dictionary",,,
;Copyright 2010 Aubrey Jaffer,,,
;,,,
";Permission to copy this dictionary, to modify it, to redistribute it,",,,
";to distribute modified versions, and to use it for any purpose is",,,
";granted, subject to the following restrictions and understandings.",,,
;,,,
;1.  Any copy made of this dictionary must include this copyright notice,,,
;in full.,,,
;,,,
;2.  I have made no warranty or representation that this data is,,,
";error-free, and I am under no obligation to provide any services, by",,,
";way of maintenance, update, or otherwise.",,,
;,,,
";3.  In conjunction with products arising from the use of this material,",,,
";there shall be no use of my name in any advertising, promotional, or",,,
;sales literature without prior written consent in each case.,,,
,,,
XCMS_COLORDB_START 0.1,,,
lamp black light,47.19,-0.11,4.14
LampBlackLight,47.19,-0.11,4.14
lamp black medium,14.32,-0.07,-0.34
LampBlackMedium,14.32,-0.07,-0.34
lamp black dark,9.81,-0.03,-0.18
LampBlackDark,9.81,-0.03,-0.18
ivory black light,72.03,-0.03,9.89
IvoryBlackLight,72.03,-0.03,9.89
ivory black medium,44.2,0.68,8.97
IvoryBlackMedium,44.2,0.68,8.97
ivory black dark,21.87,0.73,5.13
IvoryBlackDark,21.87,0.73,5.13
mars black light,70.4,0.32,9.01
MarsBlackLight,70.4,0.32,9.01
mars black medium,28.33,0.64,3.38
MarsBlackMedium,28.33,0.64,3.38
mars black dark,17.3,0.22,-0.01
MarsBlackDark,17.3,0.22,-0.01
blue black light,47.58,-2.61,-0.2
BlueBlackLight,47.58,-2.61,-0.2
blue black medium,30.98,-2.76,-6.19
BlueBlackMedium,30.98,-2.76,-6.19
blue black dark,5.31,-1.01,-6.64
BlueBlackDark,5.31,-1.01,-6.64
paynes gray light,67.51,-2.1,1.76
PaynesGrayLight,67.51,-2.1,1.76
paynes gray medium,37.82,-2.39,-7.05
PaynesGrayMedium,37.82,-2.39,-7.05
paynes gray dark,25.24,-1.97,-7.56
PaynesGrayDark,25.24,-1.97,-7.56
charcoal gray light,55.84,-0.17,9.53
CharcoalGrayLight,55.84,-0.17,9.53
charcoal gray medium,32.33,0.2,6.53
CharcoalGrayMedium,32.33,0.2,6.53
charcoal gray dark,10.17,0.14,2.49
CharcoalGrayDark,10.17,0.14,2.49
davys gray light,76.8,-1.36,19.28
DavysGrayLight,76.8,-1.36,19.28
davys gray medium,61.53,-1.34,21.11
DavysGrayMedium,61.53,-1.34,21.11
davys gray dark,51.88,-1.17,20.71
DavysGrayDark,51.88,-1.17,20.71
raw umber light,55.86,3.31,27.12
RawUmberLight,55.86,3.31,27.12
raw umber medium,31.03,4.16,15.81
RawUmberMedium,31.03,4.16,15.81
raw umber dark,28.26,3.86,13.16
RawUmberDark,28.26,3.86,13.16
vandyke brown light,57.66,7.52,31.17
VandykeBrownLight,57.66,7.52,31.17
vandyke brown medium,38.24,9.93,26.47
VandykeBrownMedium,38.24,9.93,26.47
vandyke brown dark,26.55,6.24,9.2
VandykeBrownDark,26.55,6.24,9.2
burnt umber light,36.3,12.34,27.37
BurntUmberLight,36.3,12.34,27.37
burnt umber medium,24.15,2.81,3.99
BurntUmberMedium,24.15,2.81,3.99
burnt umber dark,23.24,2.75,4.2
BurntUmberDark,23.24,2.75,4.2
brown madder light,65.99,11.01,29.68
BrownMadderLight,65.99,11.01,29.68
brown madder medium,46.58,16.1,32.74
BrownMadderMedium,46.58,16.1,32.74
brown madder dark,29.29,16.6,23.3
BrownMadderDark,29.29,16.6,23.3
mars violet deep light,68.95,10.57,11.51
MarsVioletDeepLight,68.95,10.57,11.51
mars violet deep medium,34.85,15.42,11.07
MarsVioletDeepMedium,34.85,15.42,11.07
mars violet deep dark,26.43,16.15,11.61
MarsVioletDeepDark,26.43,16.15,11.61
mars violet light,76.55,10.19,23.29
MarsVioletLight,76.55,10.19,23.29
mars violet medium,61.13,18.45,23.9
MarsVioletMedium,61.13,18.45,23.9
mars violet dark,32.34,24.66,27.48
MarsVioletDark,32.34,24.66,27.48
indian red light,67.15,17.48,20.63
IndianRedLight,67.15,17.48,20.63
indian red medium,36.78,26.95,28.28
IndianRedMedium,36.78,26.95,28.28
indian red dark,30.47,24.34,27.03
IndianRedDark,30.47,24.34,27.03
venetian red light,59.17,28.04,40.01
VenetianRedLight,59.17,28.04,40.01
venetian red medium,42.05,30.75,40.72
VenetianRedMedium,42.05,30.75,40.72
venetian red dark,35.82,27.33,37.35
VenetianRedDark,35.82,27.33,37.35
pale red light,71.03,17.6,39.1
PaleRedLight,71.03,17.6,39.1
pale red medium,47.67,28.99,47.71
PaleRedMedium,47.67,28.99,47.71
pale red dark,37.44,27.09,38.12
PaleRedDark,37.44,27.09,38.12
terra rosa light,64.48,24.35,39.96
TerraRosaLight,64.48,24.35,39.96
terra rosa medium,45.52,32.51,49.9
TerraRosaMedium,45.52,32.51,49.9
terra rosa dark,38.98,31.21,48.7
TerraRosaDark,38.98,31.21,48.7
mars orage light,44.69,27.61,46.44
MarsOrageLight,44.69,27.61,46.44
mars orage medium,40.78,22.49,39.46
MarsOrageMedium,40.78,22.49,39.46
mars orage dark,40.74,21.69,37.63
MarsOrageDark,40.74,21.69,37.63
mars brown light,71.79,13.82,33.09
MarsBrownLight,71.79,13.82,33.09
mars brown medium,48.34,21.83,40.21
MarsBrownMedium,48.34,21.83,40.21
mars brown dark,30,17.32,28.06
MarsBrownDark,30,17.32,28.06
burnt sienna light,55.37,21.52,46.28
BurntSiennaLight,55.37,21.52,46.28
burnt sienna medium,39.36,21.25,26.5
BurntSiennaMedium,39.36,21.25,26.5
burnt sienna dark,34.34,17.78,18.58
BurntSiennaDark,34.34,17.78,18.58
trans gold ochre light,82.41,4.6,53.09
TransGoldOchreLight,82.41,4.6,53.09
trans gold ochre medium,67.21,14.15,74.46
TransGoldOchreMedium,67.21,14.15,74.46
trans gold ochre dark,62.44,16.33,71.63
TransGoldOchreDark,62.44,16.33,71.63
raw sienna light,82.14,6.13,55.81
RawSiennaLight,82.14,6.13,55.81
raw sienna medium,73.62,12.29,70.47
RawSiennaMedium,73.62,12.29,70.47
raw sienna dark,65.28,16.98,74.32
RawSiennaDark,65.28,16.98,74.32
yellow ochre light,82.39,6,57.39
YellowOchreLight,82.39,6,57.39
yellow ochre medium,67.01,15.24,70.61
YellowOchreMedium,67.01,15.24,70.61
yellow ochre dark,58.85,15.89,59.05
YellowOchreDark,58.85,15.89,59.05
mars yellow light,85.54,4.65,51.7
MarsYellowLight,85.54,4.65,51.7
mars yellow medium,68.93,15.27,76.26
MarsYellowMedium,68.93,15.27,76.26
mars yellow dark,61.87,14.14,65.33
MarsYellowDark,61.87,14.14,65.33
gold ochre light,82.73,6.25,62.81
GoldOchreLight,82.73,6.25,62.81
gold ochre medium,70.86,14.49,76.7
GoldOchreMedium,70.86,14.49,76.7
gold ochre dark,62.21,14.17,63.5
GoldOchreDark,62.21,14.17,63.5
yellow ochre pale light,77.37,11.14,83.49
YellowOchrePaleLight,77.37,11.14,83.49
yellow ochre pale medium,66.29,14.7,75.76
YellowOchrePaleMedium,66.29,14.7,75.76
yellow ochre pale dark,63.14,12.96,67.46
YellowOchrePaleDark,63.14,12.96,67.46
naples yellow light,93.93,-2.05,24.19
NaplesYellowLight,93.93,-2.05,24.19
naples yellow medium,91.41,-0.52,48.31
NaplesYellowMedium,91.41,-0.52,48.31
naples yellow dark,89.28,1.92,56.29
NaplesYellowDark,89.28,1.92,56.29
naples yellow pale light,93.36,-2.49,21.76
NaplesYellowPaleLight,93.36,-2.49,21.76
naples yellow pale medium,92.75,-1.9,39.88
NaplesYellowPaleMedium,92.75,-1.9,39.88
